"id","category","opened","platform","clicked","purchase_value"
"User 835","A","Yes","Desktop","No",42.0848793621761
"User 662","A","Yes","Desktop","No",28.3915101668917
"User 186","A","Yes","Desktop","No",47.3475322694999
"User 302","A","Yes","Desktop","Yes",66.247656050041
"User 1570","A","Yes","Desktop","Yes",44.4306901025872
"User 1269","A","Yes","Desktop","No",43.9770327153454
"User 1917","A","Yes","Desktop","No",64.0946635993224
"User 343","A","Yes","Desktop","No",59.6097024163808
"User 769","A","Yes","Desktop","No",0
"User 1187","A","Yes","Desktop","No",99.5672223936377
"User 1038","A","Yes","Desktop","No",43.6898277625707
"User 833","A","Yes","Desktop","Yes",67.7928179764426
"User 811","A","Yes","Desktop","No",100.440002527458
"User 1896","A","Yes","Desktop","Yes",74.9346365944194
"User 409","A","Yes","Desktop","No",58.6006947334512
"User 965","A","Yes","Desktop","No",0
"User 80","A","Yes","Desktop","Yes",0
"User 1516","A","Yes","Desktop","No",0
"User 1223","A","Yes","Desktop","No",38.830248658824
"User 618","A","Yes","Desktop","No",38.2553082298164
"User 1788","A","Yes","Desktop","No",0
"User 1849","A","Yes","Desktop","No",0
"User 1887","A","Yes","Desktop","No",52.5661309825554
"User 1986","A","Yes","Desktop","No",23.6702581921558
"User 1328","A","Yes","Desktop","No",0
"User 929","A","Yes","Desktop","Yes",94.397178432497
"User 1742","A","Yes","Desktop","No",47.0606152382317
"User 1633","A","Yes","Desktop","No",51.726326938943
"User 1242","A","Yes","Desktop","Yes",0
"User 1823","A","Yes","Desktop","No",56.7741232175636
"User 860","A","Yes","Desktop","No",0
"User 1266","A","Yes","Desktop","No",0
"User 1640","A","Yes","Desktop","Yes",54.5442413475914
"User 1463","A","Yes","Desktop","No",21.6507234508023
"User 1367","A","Yes","Desktop","No",22.0883896910662
"User 1607","A","Yes","Desktop","No",53.925731221927
"User 1296","A","Yes","Desktop","No",52.7259710329908
"User 1647","A","Yes","Desktop","Yes",58.1174056749606
"User 647","A","Yes","Desktop","Yes",28.2233716955839
"User 1756","A","Yes","Desktop","No",125.271695331727
"User 1230","A","Yes","Desktop","No",0
"User 1377","A","Yes","Desktop","No",0
"User 1364","A","Yes","Desktop","Yes",86.5393923475328
"User 1469","A","Yes","Desktop","No",24.3646758497195
"User 819","A","Yes","Desktop","No",0
"User 155","A","Yes","Desktop","No",47.6715247807915
"User 1825","A","Yes","Desktop","Yes",38.0252408444645
"User 1803","A","Yes","Desktop","Yes",81.7161728534296
"User 201","A","Yes","Desktop","Yes",0
"User 1398","A","Yes","Desktop","No",31.9680205068914
"User 1768","A","Yes","Desktop","No",0
"User 273","A","Yes","Desktop","No",0
"User 1025","A","Yes","Desktop","No",89.8127684248917
"User 923","A","Yes","Desktop","No",47.6786792079157
"User 1185","A","Yes","Desktop","No",0
"User 1775","A","Yes","Desktop","No",85.6137972306888
"User 305","A","Yes","Desktop","Yes",60.5677511927682
"User 758","A","Yes","Desktop","No",56.5714053422872
"User 276","A","Yes","Desktop","No",110.208170562931
"User 949","A","Yes","Desktop","No",115.684020650109
"User 1008","A","Yes","Desktop","No",0
"User 1806","A","Yes","Desktop","Yes",106.259647069654
"User 651","A","Yes","Desktop","No",52.7032261253022
"User 157","A","Yes","Desktop","No",73.7403708931167
"User 286","A","Yes","Desktop","No",32.2052775685095
"User 1271","A","Yes","Desktop","No",71.1888051431677
"User 1559","A","Yes","Desktop","No",89.1629632739782
"User 1256","A","Yes","Desktop","No",71.6707743003326
"User 246","A","Yes","Desktop","No",0
"User 1487","A","Yes","Desktop","No",0
"User 1826","A","Yes","Desktop","Yes",0
"User 1457","A","Yes","Desktop","No",38.6936866881788
"User 653","A","Yes","Desktop","No",0
"User 719","A","Yes","Desktop","Yes",0
"User 771","A","Yes","Desktop","No",25.1428668640868
"User 1134","A","Yes","Desktop","Yes",68.694162294043
"User 1157","A","Yes","Desktop","No",46.8417952392585
"User 844","A","Yes","Desktop","Yes",0
"User 1589","A","Yes","Desktop","Yes",0
"User 1072","A","Yes","Desktop","Yes",39.5146318229286
"User 736","A","Yes","Desktop","No",39.8679604522472
"User 1427","A","Yes","Desktop","No",0
"User 1674","A","Yes","Desktop","No",60.8909540243368
"User 920","A","Yes","Desktop","No",85.0934881475223
"User 955","A","Yes","Desktop","No",26.8739839098615
"User 1870","A","Yes","Desktop","Yes",88.2089474812645
"User 1243","A","Yes","Desktop","Yes",0
"User 967","A","Yes","Desktop","Yes",0
"User 1247","A","Yes","Desktop","No",56.6146977480251
"User 1160","A","Yes","Desktop","No",104.844957525676
"User 1232","A","Yes","Desktop","No",0
"User 1257","A","Yes","Desktop","No",22.2054265280346
"User 1644","A","Yes","Desktop","No",0
"User 56","A","Yes","Desktop","No",79.7479505836671
"User 1990","A","Yes","Desktop","No",0
"User 725","A","Yes","Desktop","Yes",95.5681751709385
"User 1344","A","Yes","Desktop","No",0
"User 792","A","Yes","Desktop","No",32.3201544862847
"User 1440","A","Yes","Desktop","No",0
"User 992","A","Yes","Desktop","No",20.399120661446
"User 1370","A","Yes","Desktop","No",0
"User 281","A","Yes","Desktop","No",48.3440008628062
"User 216","A","Yes","Desktop","No",0
"User 963","A","Yes","Desktop","No",51.7710307297043
"User 501","A","Yes","Desktop","No",64.6828157670318
"User 1860","A","Yes","Desktop","No",0
"User 1020","A","Yes","Desktop","Yes",34.0549141755349
"User 664","A","Yes","Desktop","Yes",44.1017436922949
"User 1412","A","Yes","Desktop","No",35.0827844532196
"User 1935","A","Yes","Desktop","Yes",76.3654681892762
"User 1736","A","Yes","Desktop","Yes",0
"User 1588","A","Yes","Desktop","No",59.5450348025254
"User 176","A","Yes","Desktop","No",63.9894087985615
"User 1710","A","Yes","Desktop","No",62.5554501457338
"User 691","A","Yes","Desktop","No",0
"User 222","A","Yes","Desktop","No",27.7061927038046
"User 825","A","Yes","Desktop","No",96.9542392117184
"User 788","A","Yes","Desktop","No",0
"User 985","A","Yes","Desktop","No",44.4732240807809
"User 772","A","Yes","Desktop","No",41.6558800911108
"User 469","A","Yes","Desktop","Yes",66.2654869012573
"User 1741","A","Yes","Desktop","No",32.3992093505164
"User 1106","A","Yes","Desktop","No",48.1325264585088
"User 714","A","Yes","Desktop","No",58.0463028271021
"User 1696","A","Yes","Desktop","No",0
"User 392","A","Yes","Desktop","No",0
"User 1302","A","Yes","Desktop","No",73.3250317546997
"User 1111","A","Yes","Desktop","No",0
"User 932","A","Yes","Desktop","No",57.9805473514895
"User 943","A","Yes","Desktop","Yes",25.4784282361332
"User 103","A","Yes","Desktop","No",55.5719791908523
"User 1900","A","Yes","Desktop","No",122.657523754696
"User 1683","A","Yes","Desktop","No",33.8081942169821
"User 800","A","Yes","Desktop","Yes",69.5484316469531
"User 180","A","Yes","Desktop","No",0
"User 209","A","Yes","Desktop","No",67.7676086983021
"User 1303","A","Yes","Desktop","Yes",28.2010842445714
"User 64","A","Yes","Desktop","Yes",45.4504895105598
"User 383","A","Yes","Desktop","No",22.8424073671028
