"Orszag","IskolaTipusa","Nem","SzamitogepekOtthon","OraszamIskolaMat","OraszamIskolaTermTud","OraszamOtthonMat","OraszamOtthonTermTud","OraszamOtthonNyelv","KulonOrakMat","KulonOrakTermTud","KulonOrakNyelv","PontMat","PontSzovegertes","PontTermTud"
"HUN      ","Szakmunkaskepzo","No","1",2,3,NA,NA,NA,0,0,0,304.442,309.507,347.666
"HUN      ","Szakmunkaskepzo","No",">=3",2,3,2,2,3,NA,NA,NA,355.941,244.524,301.606
"HUN      ","Szakmunkaskepzo","No","1",2,3,2,1,4,0,0,0,320.61,278.36,310.006
"HUN      ","Szakmunkaskepzo","No","2",3,3,4,1,3,0,2,2,358.478,339.725,428.43
"HUN      ","Szakmunkaskepzo","No","1",2,2,5,13,24,0,0,4,301.493,332.738,374.752
"HUN      ","Szakmunkaskepzo","No","2",2,3,1,3,2,1,1,1,385.875,391.315,403.157
"HUN      ","Szakmunkaskepzo","No","1",2,2,1,1,1,1,1,1,348.803,302.485,393.233
"HUN      ","Szakmunkaskepzo","No","2",5,13,7,5,10,8,8,8,340.571,330.691,275.184
"HUN      ","Szakmunkaskepzo","No","1",2,3,0,3,0,0,0,0,370.526,309.905,341.889
"HUN      ","Szakmunkaskepzo","No","1",2,3,3,5,2,0,0,0,326.102,382.94,359.479
"HUN      ","Szakmunkaskepzo","No","1",2,3,1,1,2,NA,NA,NA,405.375,419.766,459.904
"HUN      ","Szakmunkaskepzo","No","1",2,3,0,1,0,0,0,0,444.885,465.706,450.613
"HUN      ","Szakmunkaskepzo","No","1",2,3,NA,NA,NA,NA,NA,NA,354.328,384.499,435.333
"HUN      ","Szakmunkaskepzo","Ferfi","0",2,2,2,2,2,4,2,2,449.469,333.967,412.492
"HUN      ","Szakmunkaskepzo","Ferfi","2",2,2,1,2,5,0,0,0,327.76,292.745,361.14
"HUN      ","Szakmunkaskepzo","Ferfi","2",2,3,2,5,2,1,2,1,444.52,312.629,441.643
"HUN      ","Szakmunkaskepzo","Ferfi","0",3,3,4,5,1,NA,NA,NA,376.447,443.611,393.154
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",2,3,2,1,2,2,2,2,476.597,395.249,492.156
"HUN      ","Szakmunkaskepzo","Ferfi","2",3,3,1,1,1,1,2,1,486.663,417.693,520.274
"HUN      ","Szakmunkaskepzo","Ferfi","1",3,3,5,4,3,13,15,15,414.709,400.436,403.789
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",3,3,7,7,7,NA,NA,NA,500.487,402.005,416.093
"HUN      ","Szakmunkaskepzo","Ferfi","1",3,3,3,NA,3,NA,3,3,335.131,308.433,320.129
"HUN      ","Szakmunkaskepzo","Ferfi","2",4,4,2,1,0,0,0,1,415.844,458.627,440.728
"HUN      ","Szakmunkaskepzo","Ferfi","2",2,2,0,0,1,0,0,0,414.785,401.579,486.31
"HUN      ","Szakmunkaskepzo","No","2",1,0,10,2,11,0,0,0,413.615,375.573,403.203
"HUN      ","Szakmunkaskepzo","Ferfi","2",1,0,NA,NA,NA,NA,NA,NA,514.139,472.118,478.849
"HUN      ","Szakmunkaskepzo","Ferfi","2",1,0,NA,NA,NA,NA,NA,NA,434.077,393.798,410.304
"HUN      ","Szakmunkaskepzo","No",">=3",3,3,14,20,17,20,20,20,316.195,415.938,375.987
"HUN      ","Szakmunkaskepzo","No","0",3,0,1,1,1,0,1,2,315.247,217.778,323.319
"HUN      ","Szakmunkaskepzo","No","1",2,0,2,2,2,2,5,2,313.722,270.139,328.972
"HUN      ","Szakmunkaskepzo","No","2",2,2,0,1,0,0,0,0,331.386,439.315,412.743
"HUN      ","Szakmunkaskepzo","No","1",3,0,4,4,4,5,1,2,358.925,322.25,385.619
"HUN      ","Szakmunkaskepzo","No","1",3,3,3,2,4,7,5,6,284.149,324.349,379.332
"HUN      ","Szakmunkaskepzo","No","1",2,3,2,NA,1,0,1,1,358.89,342.212,353.507
"HUN      ","Szakmunkaskepzo","No","1",3,NA,3,NA,NA,NA,NA,NA,377.397,285.446,332.824
"HUN      ","Szakmunkaskepzo","No","2",3,2,2,2,1,NA,NA,NA,312.155,337.49,342.482
"HUN      ","Szakmunkaskepzo","No","1",3,6,1,1,1,2,3,4,327.474,270.093,340.127
"HUN      ","Szakmunkaskepzo","No","0",3,9,7,6,7,7,7,7,354.482,242.615,340.418
"HUN      ","Szakmunkaskepzo","No","2",4,3,5,6,4,1,1,2,349.305,316.972,333.361
