Cocktail Name,Bartender,Company,Location,Ingredients,Garnish,Glassware,OfficialRating,AgeOfBartender
Nara Mule,Eduardo Val Naval,A Japanese Kirikata,Spain,"2  Kumquats, 2  Lychee, 2 oz Bulleit Rye, 1 oz King's Ginger Liqueur, .75 oz Fresh Lemon Juice, .5 oz Simple Syrup, .5 oz Egg White, .5 oz Fever Tree Ginger Beer","Kumquats Skewer, Pansy Petal",Highball Glass,8,28
Venetian,,Absinthe Brasserie & Bar,san fransisco,".5 oz Luxardo Amaretto di Saschira, .5 oz Campari, .5 oz Dry Vermouth",Lemon Zest,N/A,6,32
Gin n' Celery,,ABV,San Francisco,"1.5 oz Old Tom Gin, .75 oz Lemon Juice, .5 oz Small Hand Foods Gum Syrup, 7 dash Celery Bitters, 1 oz Tonic Water, 1 pinch Salt",Lemon Peel (Bitter Covered),Double Rocks Glass,6,43
Buster Crusta,Ryan Fitzgerald,ABV,San Francisco,"2 oz H by HINE, 1 oz Lemon Juice, .75 oz The Genuine Curacao Liqueur Orange, .5 oz Luxardo Maraschino Liqueur, .5 oz Small Hand Foods Gum Syrup, 1 bsp Luxardo Fernet",,Coupe,7,19
Where's the Orgeat?,Jackie Goldstein,ABV,San Francisco,"2 oz H by HINE, 1 oz Small Hand Foods Orgeat, .75 oz Lemon Juice, .5 oz Luxardo Apricot Liqueur, 3 dash Angostura Bitters",Lemon Twist,Coupe,7,42
Kentucky Mai Tai,,Ace Hotel,Los Angeles,"1 oz Mezcal, 1 oz Bourbon, .5 oz Lemon, .5 oz Peche de Vigne, .5 oz Cynar, .5 oz Orgeat, 4 dash Angostura Bitters","Mint Sprig, Cherry",Highball Glass,5,23
Floral Summer,Duane Fernandez,ACME,New York,"1.5 oz No.3 London Dry Gin, .5 oz Honey syrup , .75 oz Fresh lemon syrup ,   Tarragon leaves,   Lavender bitters ",,Martini,6,27
A Botanical Garden,Danny Louie,Alembic,San Francisco,"1.5 oz Hophead Vodka, .75 oz Zirbenz Stone Pine, .75 oz Fresh Strawberry Juice w/ Xanthan Gum*, .75 oz Lemon Juice, .5 oz Simple Syrup",Mint Sprig,Old Fashioned Glass,10,28
Bunny Poison,,Alta CA,San Francisco,"2 oz Rhubarb Cucumber & Mint-Infused Junipero Gin, .75 oz Lemon Juice, .75 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Rhubarb Juice, .5 oz Grapefruit Juice, .5 oz Rhubarb Syrup, 2 dash Fee Brothers Celery Bitters",Cucumber Peel,Cocktail Glass,8,31
Pineapple Express,Jim Meehan,American Express Centurion Lounge,San Francisco,"1 oz Charbay Ruby Red Grapefruit Vodka, 1 oz Vya Dry Vermouth, .75 oz Hophead Vodka, .25 oz Small Hand Foods Pineapple Gum Syrup",Grapefruit Twist,Coupe,5,39
Wabash Avenue Sour,Phillip Ricafort,American Oak,Alameda,"2 oz Bourbon, 1 oz Fresh Lemon Juice, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Small Hand Foods Pineapple Gum Syrup, .5 oz Egg White",Rhubarb Bitters,Coupe,8,42
IPA Mule,Jon Ruiz,AMK Kitchen Bar,Chicago,"1.5 oz Hophead Vodka, .5 oz Ginger Liqueur, .75 oz Lime Juice, .5 oz Pure Cane Simple Syrup, 2 count Deschutes Fresh Squeezed IPA (from tap)",Mint,,8,19
Heart Breaker,Sother Teague,Amor y Amargo,new york,"1.5 oz Bonded Rye, .5 oz Luxardo Amaro Abano, .5 oz Punt e Mes, 7 dash Angostura Bitters",Lemon Twist,Cocktail Glass,6,22
Mexico Mule,Benedict Simpson,Ancestral Garden Bar & Restaurant,New Zealand,"1 oz Montelobos Mezcal, .67 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, 3 oz Apple Cider, .5 oz Monin French Raspberry Syrup","Cinnamon Quill, Small Flowers, Lime Wheel",,8,24
You Bet Your Ascot,Jason Rager,AQ,San Francisco,"1.5 oz H by HINE, .75 oz Bonal, .5 oz Luxardo Amaro Abano, .25 oz Nocino",Orange peel,N/A,6,26
Palermo Breeze,Lainey Collum,Arthur Ave.,Houston,"1.5 oz Luxardo Bitter Bianco, .5 oz Velvet Falernum, .5 oz Lime, .5 oz Passion Fruit Syrup, 2 oz Belstar Sparkling Rose","Basil Flower, Lime Flower",Collins,5,38
Luxardo Sour,Adam Fortuna,Artusi,Seattle,"1.25 oz Luxardo Amaretto di Saschira, 1 oz Rye Whiskey, 1 oz Lemon Juice, .75 oz Angostura Bitters, 1  Egg White",Lemon Twist,Old Fashioned Glass,10,32
Still Life of a Pineapple,Daniel Braganca,Backbar,Somerville,"1.5 oz BarSol Primero Quebranta Pisco, .75 oz Dry Vermouth, .5 oz St. Germain, .25 oz Pineapple Syrup*, 1 bsp Vieux Pontarlier Absinthe Francaise Superieure",,N/A,6,34
Flight to Peru,Sam Treadway,Backbar,Somerville,"1.5 oz BarSol Selecto Italia Pisco, 1 oz Fresh Grapefruit Juice, .25 oz Simple Syrup, .25 oz Luxardo Maraschino Liqueur, 1 dash Chocolate Mole Bitters","Luxardo Cherry, Grapefruit Peel",N/A,6,36
Basilway Daquiri,Sam Treadway,Backbar,Somerville,"1.5 oz Basil-Infused White Rum, .5 oz King's Ginger Liqueur, .25 oz Fresh Lime Juice, .25 oz Luxardo Maraschino Liqueur, 1 bsp, large Grapefruit Sorbet",Basil Leaf,Coupe,7,26
